"Year","Continent","Biofuel Power (TWh)","Coal Power (TWh)","Natural Gas Power (TWh)","Hydro Power (TWh)","Nuclear Power (TWh)","Oil Power (TWh)","Other Renewable Power (TWh)","Solar Power (TWh)","Wind Power (TWh)","Population","GDP ($)","Electricity Demand (TWh)","GHGs from Electricity Generation (MM tonnes of CO2e)"
"1965","Africa",,,,3.382,0,,,0,0,217004448,467523374071,,
"1966","Africa",,,,3.27,0,,,0,0,222484248,477387315747,,
"1967","Africa",,,,3.335,0,,,0,0,228103883,484779771596,,
"1968","Africa",,,,4.646,0,,,0,0,233886377,508462028666,,
"1969","Africa",,,,5.7410000000000005,0,,,0,0,239862748,553104580527,,
"1970","Africa",,,,6.640000000000001,0,,,0,0,246059347,605592988915,,
"1971","Africa",,,,7.009,0,,,0,0,252481894,635468846227,,
"1972","Africa",,,,8.087,0,,,0,0,259136376,663084129089,,
"1973","Africa",,,,8.081999999999999,0,,,0,0,266048464,692886288718,,
"1974","Africa",,,,9.081999999999999,0,,,0,0,273248245,733817607859,,
"1975","Africa",,,,9.257000000000001,0,,,0,0,280756273,737776107216,,
"1976","Africa",,,,11.266999999999998,0,,,0,0,288582678,787385528658,,
"1977","Africa",,,,12.616,0,,,0,0,296720835,818347893964,,
"1978","Africa",,,,13.503,0,,,0,0,305152356,840692243327,,
"1979","Africa",,,,12.625000000000002,0,,,0,0,313849142,885308962499,,
"1980","Africa",,,,12.565999999999999,0,,,0,0,469037344,1099419684734,,
"1981","Africa",,,,13.255999999999998,0,,,0,0,482434016,1110637842492,,
"1982","Africa",,,,12.559,0,,,0,0,496231767,1144238500207,,
"1983","Africa",,,,11.126,0,,,0,0,510439932,1152384926218,,
"1984","Africa",,,,11.008000000000001,3.925,,,0,0,525071889,1180900912942,,
"1985","Africa",,135.403,9.236,10.904000000000002,5.315,11.911,,0,0,540131194,1225082245818,,
"1986","Africa",,135.988,10.289,11.488,8.803,13.241999999999999,,0,0,555618223,1251227005661,,
"1987","Africa",,142.773,11.716,11.911000000000001,6.167,15.011,,0,0,571509829,1267464622308,,
"1988","Africa",,143.032,13.156,13.11,10.493,16.779,,0,0,587756630,1323389864320,,
"1989","Africa",,148.462,13.715,13.629000000000001,11.099,17.412,,0,0,604293660,1364475496994,,
"1990","Africa",,155.926,16.446,12.318,8.449,15.554,,0,0,622503637,1392635536662,,
"1991","Africa",,155.388,20.406,13.415,9.144,12.954,,0,0,639557342,1433572522895,,
"1992","Africa",,156.717,22.944,11.715000000000002,9.288,12.242,,0,0,656843162,1456706674419,,
"1993","Africa",,165.96,26.172,11.034,7.255,10.472,,0,0,674333358,1492597009986,,
"1994","Africa",,169.402,29.292,12.808,9.697,8.53,,0,0,694216575,1555294230044,,
"1995","Africa",,173.551,30.45,12.525,11.301,9.01,,0,0,712028838,1628336397684,,
"1996","Africa",,184.718,31.514,14.895,11.775,10.572,,0,0,730010431,1747510826168,,
"1997","Africa",,192.869,32.679,16.021,12.647,12.334,,0,0,748191725,1839670989257,,
"1998","Africa",,187.527,32.53,15.690999999999999,13.601,16.063,,0,0,766635654,1938693723880,,
"1999","Africa",,186.662,37.226,15.193999999999999,12.837,15.052,,0,0.012,791359237,2033178294482,,
"2000","Africa",2.1500000000000004,194.57999999999998,96.99,74.51,13.01,38.54999999999999,0.43,0,0.23,804634502,2150734280526,424.23999999999995,236.49999999999997
"2001","Africa",2.1400000000000006,199.19000000000003,103.82000000000001,81.21,10.72,39.169999999999995,0.48,0,0.46,824299002,2292132649491,440.65999999999997,244.20000000000002
"2002","Africa",2.1300000000000003,205.12,120.74000000000001,83.40000000000002,11.99,38.019999999999996,0.39,0.02,0.43000000000000005,844449025,2450288937929,464.5099999999999,256.58000000000004
"2003","Africa",2,219.93999999999997,127.91999999999999,81.68999999999998,12.66,39.51999999999999,0.79,0.02,0.6100000000000001,865145959,2622270527264,487.25,273.31000000000006
"2004","Africa",2.23,229.72,144.04000000000002,86.53999999999999,14.28,36.650000000000006,1.03,0.02,0.78,886457068,2823553364349,516.3299999999999,287.44
"2005","Africa",2.62,232.15,154.13000000000002,88.72,12.24,44.019999999999996,1,0.02,0.8300000000000001,908440248,3046444210857,536.82,299.60999999999996
"2006","Africa",2.63,238.87999999999997,165.80999999999997,91.92000000000003,10.07,47.27999999999999,1.01,0.03,0.8700000000000001,931118629,3290370715526,561.52,313.20000000000005
"2007","Africa",2.5100000000000002,247.07000000000002,174.08000000000004,93.99000000000001,12.6,50.93000000000001,1.02,0.04,1.1800000000000002,954516596,3574968990469,588.2700000000002,326.56
"2008","Africa",2.71,241.36,181.88000000000002,95.63000000000002,12.75,56.13,1.19,0.05,1.29,978690324,3864184148158,597.4599999999998,329.45000000000005
"2009","Africa",2.82,231.70000000000002,185.66999999999996,98.68000000000002,11.57,62.01,1.36,0.07,1.7,1003700975,4095091530082,600.6099999999999,327.56999999999994
"2010","Africa",3.14,240.67000000000002,211.80999999999997,109.5,12.9,58.72999999999998,1.47,0.41000000000000003,2.37,1029586930,4438225521845,644.9399999999999,345.87
"2011","Africa",3.29,244.07,217.03999999999996,110.57000000000004,12.94,55.72,1.51,0.5000000000000001,2.4299999999999997,1056364060,4574545439003,653.2899999999998,349.21999999999997
"2012","Africa",3.4899999999999993,241,236.98999999999995,111.66000000000003,12.4,64.58,1.6,0.6500000000000001,2.3700000000000006,1094121884,4856503467480,682.52,362.65999999999997
"2013","Africa",3.71,234.56,241.48000000000008,116.88000000000004,13.61,75.89999999999999,2.01,0.7400000000000002,3.5499999999999994,1122817758,4966601965133,701.3199999999999,367.71999999999986
"2014","Africa",5.46,233.36,250.65,122.18000000000008,14.76,80.79,4.06,1.8600000000000003,5.59,1152199985,5187030335975,726.84,375.36000000000007
"2015","Africa",6.399999999999999,229.95,265.95,120.02999999999997,10.97,90.92000000000002,4.48,2.9099999999999993,8.579999999999998,1182198784,5366848076752,748.3599999999998,387.37999999999994
"2016","Africa",5.81,229.88000000000002,270.85,119.04999999999998,15.21,88.14,4.2,4.21,10.47,1212794105,5492111975610,754.6799999999996,387.70999999999987
"2017","Africa",5.040000000000001,235.38,297.08,124.99,15.09,77.90999999999998,4.81,5.599999999999999,11.54,1243969320,5697058170231,784.5899999999999,397.9700000000001
"2018","Africa",4.67,240.54,305.05,130.67000000000002,10.56,71.86999999999999,4.78,7.149999999999998,15.729999999999997,1275661494,5903240072894,795.7399999999999,401.9699999999999
"1965","Asia",,,,132.303,0.025,,,0,0,1828821427,3519117160326,,
"1966","Asia",,,,138.409,0.584,,,0,0,1872674890,3723850406899,,
"1967","Asia",,,,128.27599999999998,0.629,,,0,0,1919251040,3938329924145,,
"1968","Asia",,,,143.708,1.044,,,0,0,1973808702,4225051653073,,
"1969","Asia",,,,149.38699999999997,1.807,,,0,0,2023721960,4641536722691,,
"1970","Asia",,,,153.175,5.889,,,0,0,2080175487,5104569158829,,
"1971","Asia",,,,168.205,9.030999999999999,,,0,0,2130711897,5376697451348,,
"1972","Asia",,,,174.14100000000002,10.607,,,0,0,2181460781,5672807848930,,
"1973","Asia",,,,161.252,12.040000000000001,,,0,0,2232123670,6129545666559,,
"1974","Asia",,,,184.347,22.028000000000002,,,0,0,2282405957,6281665146565,,
"1975","Asia",,,,198.81799999999996,27.878,,,0,0,2332128849,6597783737034,,
"1976","Asia",,,,203.942,37.252,,,0,0,2381125268,6885346109618,,
"1977","Asia",,,,199.374,34.00799999999999,,,0,0,2429488992,7268749788980,,
"1978","Asia",,,,210.07100000000005,66.738,,,0,0,2477650428,7729132213919,,
"1979","Asia",,,,227.20899999999997,82.27399999999999,,,0,0,2526228067,8066755323622,,
"1980","Asia",,,,244.32999999999996,96.79499999999999,,,0,0,2591425857,8423987477416,,
"1981","Asia",,,,261.41,104.019,,,0,0,2641997311,8745728887651,,
"1982","Asia",,,,258.165,121.65100000000001,,,0,0,2693511497,9150867685874,,
"1983","Asia",,,,270.86500000000007,145.51,,,0,0,2746329127,9602171789050,,
"1984","Asia",,,,270.585,175.015,,,0,0,2800871482,10173877838879,,
"1985","Asia",,602.3789999999999,210.396,300.18899999999996,209.94700000000003,351.73199999999997,,0,0,2900974634,11055703636337,,
"1986","Asia",,669.128,221.24400000000003,303.991,226.16800000000003,346.38200000000006,,0,0,2960439995,11507479878018,,
"1987","Asia",,744.099,244.955,314.906,266.673,358.25299999999993,,0,0,3021734383,12188898363368,,
"1988","Asia",,797.4999999999999,266.07700000000006,358.36999999999995,250.92,400.106,,0,0,3083709673,12938302359911,,
"1989","Asia",,869.364,296.521,370.691,265.698,430.57399999999996,,0,0,3144806077,13444412874916,,
"1990","Asia",0,919.068,333.29299999999995,389.92399999999986,287.139,492.98900000000003,0.08,0.004,0.032,3203887694,14100035406747,56.81,
"1991","Asia",0.04,1017.7359999999999,363.42499999999995,395.858,306.66799999999995,500.9050000000001,0.08,0.004,0.122,3260513177,14629639601871,60.49,
"1992","Asia",0.05,1123.2290000000003,383.419,399.765,314.83000000000004,520.245,0.07,0.015000000000000001,0.219,3333640176,15413341319759,67.22,
"1993","Asia",0.06,1187.866,400.847,448.2729999999999,348.8759999999999,505.497,0.08,0.027999999999999997,0.309,3386228406,16239498421656,73.43,
"1994","Asia",0.05,1335.1490000000001,451.124,441.875,372.439,545.294,0.08,0.036000000000000004,0.577,3437745672,16990751115705,77.79,
"1995","Asia",0.22,1439.8159999999996,492.579,485.5310000000001,410.2819999999999,526.805,0.09,0.05,1.113,3488768479,18032138144952,85.55,
"1996","Asia",0.18,1569.0469999999998,527.9950000000001,481.612,431.36699999999996,517.521,0.08,0.07200000000000001,0.974,3539379850,19113069657406,94.79,
"1997","Asia",0.29,1654.4230000000002,603.236,484.537,459.754,491.64,0.08,0.116,1.1879999999999997,3592279579,19796318841061,105.52,
"1998","Asia",0.24,1707.5189999999998,644.4479999999999,516.8389999999999,478.439,458.304,0.09,0.16699999999999998,1.444,3641887671,19848844665800,114.03,
"1999","Asia",0.13,1848.311,705.589,498.0520000000001,486.47200000000004,460.87399999999997,0.08,0.246,2.021,3690936915,20529400004265,118.48,
"2000","Asia",26.450000000000003,2058.68,923.4599999999998,567.93,481.19999999999993,544.8200000000002,35.06,0.39,2.3699999999999997,3739435673,21685990229407,4648.589999999999,2548.7999999999993
"2001","Asia",28.349999999999994,2193.94,979.01,615.4299999999998,484.81000000000006,508.02999999999986,34.1,0.53,3.179999999999999,3787423814,22470908051465,4853.74,2662.7899999999995
"2002","Asia",30.240000000000002,2401.9400000000005,1056.7899999999997,634.6299999999999,479.87,525.35,33.910000000000004,0.7500000000000001,3.459999999999999,3834980449,23595955844543,5173.829999999998,2884.44
"2003","Asia",31.620000000000005,2696.45,1129.61,663.7,453.68,539.4399999999999,34.480000000000004,1,4.579999999999999,3883141016,24936679745788,5556.330000000001,3172.29
"2004","Asia",33.9,2950.4300000000003,1194.84,775.0199999999996,506.3,546.7400000000002,34.1,1.31,8.01,3930136156,26712147911828,6051.180000000001,3421.48
"2005","Asia",40.07,3263.7100000000005,1251.05,812.8799999999999,532.22,544.8900000000002,33.92,1.61,10.07,3976958672,28590968884460,6490.320000000001,3707.270000000001
"2006","Asia",43.83,3633.54,1340.98,884.6099999999999,548.48,528.5199999999999,34.910000000000004,1.94,16.060000000000002,4023634245,30741425408222,7036.720000000003,4045.9899999999993
"2007","Asia",51.080000000000005,4082.9299999999994,1464.14,925.5299999999997,527.52,554.75,34.809999999999995,2.3199999999999994,21.16,4070151187,32944407846424,7665.609999999999,4495.74
"2008","Asia",56.58999999999998,4180.95,1499.52,1055.61,512.4399999999999,532.0199999999999,32.98,2.809999999999999,32.57,4116490519,34293068565947,7906.160000000002,4581.839999999999
"2009","Asia",66.47000000000001,4434.429999999999,1581.68,1032.88,535.86,484.4799999999999,33.28,3.8199999999999985,50.77999999999999,4162614705,35512491104384,8226.830000000002,4798.92
